Country	City/Region	Description/URLs
Argentina	Ushuaia	https://www.facebook.com/groups/1651720055131986/
Australia	Melbourne	https://tangoclub.melbourne/melbourne-tango-calendar/
Australia	Sydney	https://tangoevents.au/
Austria	Vienna	http://www.tango-vienna.com/
Belgium	Brussels	https://www.milonga.be/
Brazil	Rio de Janeiro	http://www.riotango.com.br/riodejaneiro.htm
Brazil	São Paulo	https://hoy-milonga.com/sao-paulo/en
Canada	Montreal	https://www.tangocalmontreal.ca/ ; https://www.facebook.com/groups/1933550103636447/
Canada	Ottawa	https://ottawatango.wordpress.com/calendar/
Canada	Quebec City	https://tangoquebec.org/index.php/calendrier/
Canada	Toronto	https://www.torontotango.com/events/milongas.asp
Canada	Vancouver	https://www.allvancouvertango.com/
Colombia	Bogotá	https://www.bogotango.com/milongas/
Croatia	Zagreb	https://www.facebook.com/groups/127379027315950/
Czech Republic	Brno	http://www.tango-prague.info/calendars/brno
Czech Republic	Prague	https://www.tango-prague.info/ ; https://www.facebook.com/groups/13416565187/ ; https://www.facebook.com/TangoPragueInfo
		
Denmark	Copenhagen	https://tango.dk/
Egypt	Cairo	http://www.egypttango.com/
Estonia	Tallinn	https://www.facebook.com/groups/252910028145400
Finland	Helsinki	https://www.facebook.com/groups/5555248820/ ; https://tangoargentinofinland.wordpress.com/milongas-practicas/
France	Paris	https://tango-argentin.fr/ ; https://www.parilongas.fr/ ; https://www.facebook.com/groups/164961677477/
France	Grenoble	https://tango-argentin.fr/
France	Toulouse	http://www.tango-toulouse.net/
France	Marseille	http://www.tangopourtous.fr/pagestheme/milongas/regulieres/fix_semaine.php
France	Montpellier	https://tango-argentin.fr/
France	Bordeaux	https://www.tango-argentin-bordeaux.com/
France	Lyon	http://www.tsibelle.com/
France	Nantes	https://www.tango-ouest.com/
France	Nice	https://calendar.google.com/calendar/u/0/embed?src=agendatangoam@gmail.com&ctz=Europe/Paris
Germany	Berlin	https://hoy-milonga.com/berlin/en ; https://www.facebook.com/groups/563552997106496
Germany	Frankfurt	https://tango-calendar.de/events/kategorie/tango-milonga/
Germany	Hamburg	https://tangokalender-hamburg.de/en/
Germany	Munich	https://www.tangomuenchen.de/en/index.html
Germany	Baden-Württemberg Region	https://www.rhein-neckar-tango.de/veranstaltungen/
Germany	Lake Constance Region	https://www.tangoambodensee.info/index.php/kalender
Germany	North Bavaria	https://tango-nordbayern.de/
Germany	Ostsee Region	https://www.tangoammeer.de/tangokalender
Greece	Athens	https://hoy-milonga.com/athens/en ; https://www.facebook.com/groups/ocho.gr/ ; https://www.facebook.com/groups/371771409502112 ; http://tangolist.gr/
Hong Kong	Hong Kong	https://www.facebook.com/groups/811530215594629/
Hungary	Budapest	https://milonga.hu/ ; https://tangohungary.hu/ ; https://milonga.hu/
India	Auroville	https://www.facebook.com/groups/197346010313291/ ; https://www.instagram.com/tango_in_auroville_india
India	Hyderabad	https://www.hyderabadtango.com/ ; https://www.facebook.com/hyderabad.tango
India	Mumbai	https://www.facebook.com/groups/107857822580692/
India	Pune	https://punetango.com/ ; https://facebook.com/groups/Pune.Tango/ ; https://www.instagram.com/pune.tango
Ireland	Dublin	https://irelandtango.com/
Israel	Tel Aviv	https://isratango.org/
Italy	Milan	https://www.faitango.it/agenda-eventi ; http://www.tangomilano.it/milonghe.asp ; https://buenaondatango.it/eventi-tango-argentino-milano/
Italy	Rome	https://www.faitango.it/agenda-eventi ; https://calendar.google.com/calendar/u/0/embed?color=%239fe1e7&src=milongueandoroma@gmail.com
Japan	Tokyo	https://www.tokyotango.jp/ ; https://www.facebook.com/groups/376655371590174/
Japan	Osaka	Kyoto
Japan	All of Japan	https://www.facebook.com/groups/298620387169176/ ; https://www.facebook.com/groups/1510097965906426/
Malaysia	Penang	https://www.facebook.com/groups/1563135257271497
Mexico	Mexico City	https://www.facebook.com/groups/1428420777264397
Mexico	Playa del Carmen	https://www.facebook.com/profile.php?id=100066783699508
Mexico	Tulum	https://www.facebook.com/tulumtango
Netherlands	Amsterdam	https://www.tangokalender.nl/ ; https://www.facebook.com/groups/tangoinamsterdam
Norway	Bergen	http://bergentango.no/kalender/
Norway	Oslo	https://www.facebook.com/groups/2366326653
Poland	Kraków	https://www.facebook.com/groups/146042045254/events
Poland	Warsaw	https://www.facebook.com/tangoinwarsaw/
Poland	Wrocław	https://www.facebook.com/groups/tangowewroclawiu
Portugal	Lisbon	https://www.tangolx.com/ ; https://www.facebook.com/tangolx
Portugal	Porto	https://www.facebook.com/profile.php?id=100057157851533
